gene_id	LFC
CNAG_12600	1.88E+00
CNAG_06680	-1.88E-01
CNAG_07609	-3.50E-01
CNAG_04508	-4.25E-01
CNAG_03605	-2.23E-01
CNAG_05924	7.60E-01
CNAG_06138	-2.89E-01
CNAG_12642	-7.50E-01
CNAG_07555	7.08E-01
CNAG_01400	-3.44E-01
CNAG_02510	6.58E-01
CNAG_07975	1.21E+00
CNAG_02839	3.17E+00
CNAG_12426	-6.61E-01
CNAG_06263	1.17E+00
CNAG_03988	3.13E-01
CNAG_05104	-4.39E-01
CNAG_02780	-2.82E-01
CNAG_03720	-4.86E-01
CNAG_02877	-1.13E+00
CNAG_03516	-6.82E-01
CNAG_01972	4.51E-01
CNAG_00925	9.14E-01
CNAG_12446	-1.67E+00
CNAG_06679	-3.36E-01
CNAG_03546	4.47E-01
CNAG_06648	-1.85E-01
CNAG_04405	-3.24E-01
CNAG_05664	-3.91E-01
CNAG_07009	-5.21E-01
CNAG_01166	-2.64E-01
CNAG_00075	-4.20E-01
CNAG_12918	-9.03E-01
CNAG_01595	-1.98E-01
CNAG_03771	-7.14E-01
CNAG_05578	-4.11E-01
CNAG_13163	1.15E+00
CNAG_06216	-3.92E-01
CNAG_02905	-4.17E-01
CNAG_06409	2.43E-01
